"filename", "language", "XML", "JavaScript", "HTML", "JSON", "PostCSS", "Markdown", "Shell Script", "comment", "blank", "total"
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\README.md", "Markdown", 0, 0, 0, 0, 0, 81, 0, 0, 25, 106
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\CHARACTER_PATHS_API.md", "Markdown", 0, 0, 0, 0, 0, 138, 0, 0, 44, 182
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\CMS_INTEGRATION_PROMPT.md", "Markdown", 0, 0, 0, 0, 0, 444, 0, 0, 86, 530
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\FILE_STRUCTURE.md", "Markdown", 0, 0, 0, 0, 0, 113, 0, 0, 20, 133
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\FRESH_DATA_STRATEGY.md", "Markdown", 0, 0, 0, 0, 0, 156, 0, 0, 34, 190
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\GLOBAL_CLUSTERING_SYSTEM.md", "Markdown", 0, 0, 0, 0, 0, 146, 0, 0, 52, 198
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\IMAGE_STORAGE_STRATEGY.md", "Markdown", 0, 0, 0, 0, 0, 167, 0, 0, 35, 202
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\LOCATION_CLUSTERING_ENHANCEMENT.md", "Markdown", 0, 0, 0, 0, 0, 118, 0, 0, 35, 153
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\MEDIA_LIBRARY_MANAGEMENT.md", "Markdown", 0, 0, 0, 0, 0, 146, 0, 0, 28, 174
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\MOVEMENT_VISIBILITY_CONTROL.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_5_OPTIMIZATION_SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 135, 0, 0, 42, 177
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_6_PERFORMANCE_SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 134, 0, 0, 41, 175
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_7_ADVANCED_LOADING_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 181, 0, 0, 48, 229
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_7_BUG_FIXES_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 75, 0, 0, 26, 101
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_8_BUNDLE_OPTIMIZATION_COMPLETE.md", "Markdown", 0, 0, 0, 0, 0, 324, 0, 1, 92, 417
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\STRUCTURE.md", "Markdown", 0, 0, 0, 0, 0, 110, 0, 9, 31, 150
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\index-optimized.html", "HTML", 0, 0, 325, 0, 0, 0, 0, 35, 59, 419
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\index.html", "HTML", 0, 0, 117, 0, 0, 0, 0, 47, 27, 191
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\aablank.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
