Date : 2025-09-07 08:10:45
Directory : c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map
Total : 174 files,  43039 codes, 3088 comments, 6658 blanks, all 52785 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |         82 |     21,806 |      2,394 |      4,074 |     28,274 |
| JSON         |          5 |      8,311 |          0 |          2 |      8,313 |
| PostCSS      |         38 |      7,313 |        504 |      1,304 |      9,121 |
| Markdown     |         20 |      3,346 |         10 |        877 |      4,233 |
| HTML         |         21 |      2,122 |        155 |        355 |      2,632 |
| Shell Script |          2 |         96 |         23 |         29 |        148 |
| XML          |          6 |         45 |          2 |         17 |         64 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        174 |     43,039 |      3,088 |      6,658 |     52,785 |
| . (Files)                                                                                                     |          3 |        523 |         82 |        111 |        716 |
| docs                                                                                                          |         15 |      2,387 |         10 |        615 |      3,012 |
| public                                                                                                        |         49 |     12,187 |        234 |        719 |     13,140 |
| public (Files)                                                                                                |          1 |        259 |         40 |         57 |        356 |
| public\content                                                                                                |         16 |        220 |          0 |         26 |        246 |
| public\content\locations                                                                                      |         16 |        220 |          0 |         26 |        246 |
| public\css                                                                                                    |         22 |      3,381 |        192 |        618 |      4,191 |
| public\css (Files)                                                                                            |          2 |        141 |          7 |         36 |        184 |
| public\css\animations                                                                                         |          1 |         80 |          4 |          9 |         93 |
| public\css\base                                                                                               |          3 |         74 |          5 |         16 |         95 |
| public\css\components                                                                                         |         12 |      2,908 |        160 |        513 |      3,581 |
| public\css\components\characters                                                                              |          3 |      1,123 |         67 |        200 |      1,390 |
| public\css\components\features                                                                                |          2 |        407 |          7 |         60 |        474 |
| public\css\components\map                                                                                     |          2 |         92 |          6 |         18 |        116 |
| public\css\components\movement                                                                                |          1 |        166 |         21 |         31 |        218 |
| public\css\components\ui                                                                                      |          4 |      1,120 |         59 |        204 |      1,383 |
| public\css\layout                                                                                             |          2 |        178 |          8 |         38 |        224 |
| public\css\themes                                                                                             |          2 |          0 |          8 |          6 |         14 |
| public\data                                                                                                   |          4 |      8,282 |          0 |          1 |      8,283 |
| public\icons                                                                                                  |          6 |         45 |          2 |         17 |         64 |
| server                                                                                                        |         68 |     16,017 |      1,280 |      2,871 |     20,168 |
| server (Files)                                                                                                |          5 |        587 |         39 |        162 |        788 |
| server\admin-interface                                                                                        |         45 |     11,458 |        873 |      1,992 |     14,323 |
| server\admin-interface (Files)                                                                                |          1 |        469 |         62 |         69 |        600 |
| server\admin-interface\css                                                                                    |         17 |      4,053 |        312 |        716 |      5,081 |
| server\admin-interface\css (Files)                                                                            |          1 |         69 |         13 |         17 |         99 |
| server\admin-interface\css\core                                                                               |         10 |      2,296 |        191 |        383 |      2,870 |
| server\admin-interface\css\modules                                                                            |          6 |      1,688 |        108 |        316 |      2,112 |
| server\admin-interface\css\modules\activity                                                                   |          1 |        264 |         12 |         62 |        338 |
| server\admin-interface\css\modules\changelog                                                                  |          1 |        299 |         42 |         58 |        399 |
| server\admin-interface\css\modules\characters                                                                 |          1 |        538 |         20 |         96 |        654 |
| server\admin-interface\css\modules\journeys                                                                   |          2 |        587 |         34 |         99 |        720 |
| server\admin-interface\css\modules\timeline                                                                   |          1 |          0 |          0 |          1 |          1 |
| server\admin-interface\js                                                                                     |         27 |      6,936 |        499 |      1,207 |      8,642 |
| server\admin-interface\js\core                                                                                |          6 |      1,345 |        167 |        257 |      1,769 |
| server\admin-interface\js\libs                                                                                |          1 |        115 |         10 |         25 |        150 |
| server\admin-interface\js\modules                                                                             |         20 |      5,476 |        322 |        925 |      6,723 |
| server\admin-interface\js\modules\activity                                                                    |          1 |        353 |         26 |         50 |        429 |
| server\admin-interface\js\modules\changelog                                                                   |          2 |        824 |         24 |        103 |        951 |
| server\admin-interface\js\modules\characters                                                                  |          6 |      1,352 |        123 |        285 |      1,760 |
| server\admin-interface\js\modules\dynamics                                                                    |          1 |        321 |         17 |         70 |        408 |
| server\admin-interface\js\modules\journeys                                                                    |          4 |      1,536 |         48 |        176 |      1,760 |
| server\admin-interface\js\modules\locations                                                                   |          3 |        769 |         67 |        169 |      1,005 |
| server\admin-interface\js\modules\temporal                                                                    |          1 |        321 |         17 |         70 |        408 |
| server\admin-interface\js\modules\timeline                                                                    |          2 |          0 |          0 |          2 |          2 |
| server\docs                                                                                                   |          2 |        401 |          0 |         95 |        496 |
| server\middleware                                                                                             |          1 |         27 |          7 |          5 |         39 |
| server\routes                                                                                                 |         10 |      3,359 |        327 |        566 |      4,252 |
| server\scripts                                                                                                |          5 |        185 |         34 |         51 |        270 |
| src                                                                                                           |         37 |     10,934 |      1,471 |      2,168 |     14,573 |
| src\core                                                                                                      |          3 |        929 |        159 |        200 |      1,288 |
| src\systems                                                                                                   |          4 |      2,086 |        251 |        366 |      2,703 |
| src\ui                                                                                                        |          7 |      3,004 |        301 |        511 |      3,816 |
| src\ui (Files)                                                                                                |          1 |         90 |          8 |         23 |        121 |
| src\ui\components                                                                                             |          6 |      2,914 |        293 |        488 |      3,695 |
| src\utils                                                                                                     |         22 |      4,514 |        736 |      1,025 |      6,275 |
| src\vendor                                                                                                    |          1 |        401 |         24 |         66 |        491 |
| test                                                                                                          |          2 |        991 |         11 |        174 |      1,176 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                      | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\README.md                                                       | Markdown     |         81 |          0 |         25 |        106 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\CHARACTER_PATHS_API.md                                     | Markdown     |        138 |          0 |         44 |        182 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\CMS_INTEGRATION_PROMPT.md                                  | Markdown     |        444 |          0 |         86 |        530 |
